"filename", "language", "Ini", "C++", "CSV", "Properties", "Markdown", "Shell Script", "comment", "blank", "total"
"c:\Users\wypho\Desktop\code\Embedded\lib\Builders\include\StateMachineBuilder.h", "C++", 0, 40, 0, 0, 0, 0, 7, 15, 62
"c:\Users\wypho\Desktop\code\Embedded\lib\Builders\include\VibratorBuilder.h", "C++", 0, 22, 0, 0, 0, 0, 6, 7, 35
"c:\Users\wypho\Desktop\code\Embedded\lib\Builders\src\BCHeadPhoneBuilder.cpp", "C++", 0, 33, 0, 0, 0, 0, 6, 10, 49
"c:\Users\wypho\Desktop\code\Embedded\lib\Builders\src\BluetoothManagerBuilder.cpp", "C++", 0, 36, 0, 0, 0, 0, 6, 9, 51
"c:\Users\wypho\Desktop\code\Embedded\lib\Builders\src\ESP_32Builder.cpp", "C++", 0, 38, 0, 0, 0, 0, 6, 10, 54
"c:\Users\wypho\Desktop\code\Embedded\lib\Builders\src\EmergencyButtonBuilder.cpp", "C++", 0, 38, 0, 0, 0, 0, 6, 11, 55
"c:\Users\wypho\Desktop\code\Embedded\lib\Builders\src\ServoMotorBuilder.cpp", "C++", 0, 33, 0, 0, 0, 0, 6, 8, 47
"c:\Users\wypho\Desktop\code\Embedded\lib\Builders\src\StateMachineBuilder.cpp", "C++", 0, 109, 0, 0, 0, 0, 6, 19, 134
"c:\Users\wypho\Desktop\code\Embedded\lib\Builders\src\VibratorBuilder.cpp", "C++", 0, 33, 0, 0, 0, 0, 6, 10, 49
"c:\Users\wypho\Desktop\code\Embedded\lib\Communications\include\BluetoothManager.h", "C++", 0, 29, 0, 0, 0, 0, 12, 16, 57
"c:\Users\wypho\Desktop\code\Embedded\lib\Communications\include\EmergencyButton.h", "C++", 0, 20, 0, 0, 0, 0, 12, 10, 42
"c:\Users\wypho\Desktop\code\Embedded\lib\Communications\include\ICommunication.h", "C++", 0, 24, 0, 0, 0, 0, 6, 10, 40
"c:\Users\wypho\Desktop\code\Embedded\lib\Communications\include\IResponse.h", "C++", 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\wypho\Desktop\code\Embedded\lib\Communications\src\BluetoothManager.cpp", "C++", 0, 217, 0, 0, 0, 0, 15, 39, 271
"c:\Users\wypho\Desktop\code\Embedded\lib\Communications\src\EmergencyButton.cpp", "C++", 0, 29, 0, 0, 0, 0, 9, 11, 49
"c:\Users\wypho\Desktop\code\Embedded\lib\Communications\src\ICommunication.cpp", "C++", 0, 48, 0, 0, 0, 0, 7, 13, 68
"c:\Users\wypho\Desktop\code\Embedded\lib\Components\include\BCHeadphone.h", "C++", 0, 17, 0, 0, 0, 0, 19, 11, 47
"c:\Users\wypho\Desktop\code\Embedded\lib\Components\include\Battery.h", "C++", 0, 14, 0, 0, 0, 0, 11, 9, 34
"c:\Users\wypho\Desktop\code\Embedded\lib\Components\include\ESP_32.h", "C++", 0, 26, 0, 0, 0, 0, 6, 11, 43
"c:\Users\wypho\Desktop\code\Embedded\lib\Components\include\IComponent.h", "C++", 0, 23, 0, 0, 0, 0, 20, 12, 55
"c:\Users\wypho\Desktop\code\Embedded\lib\Components\include\ServoMotor.h", "C++", 0, 24, 0, 0, 0, 0, 14, 13, 51
"c:\Users\wypho\Desktop\code\Embedded\lib\Components\include\Vibrator.h", "C++", 0, 21, 0, 0, 0, 0, 19, 12, 52
"c:\Users\wypho\Desktop\code\Embedded\lib\Components\src\BCHeadphone.cpp", "C++", 0, 29, 0, 0, 0, 0, 5, 7, 41
"c:\Users\wypho\Desktop\code\Embedded\lib\Components\src\Battery.cpp", "C++", 0, 14, 0, 0, 0, 0, 9, 6, 29
"c:\Users\wypho\Desktop\code\Embedded\lib\Components\src\ESP_32.cpp", "C++", 0, 27, 0, 0, 0, 0, 6, 5, 38
"c:\Users\wypho\Desktop\code\Embedded\lib\Components\src\ServoMotor.cpp", "C++", 0, 22, 0, 0, 0, 0, 5, 6, 33
"c:\Users\wypho\Desktop\code\Embedded\lib\Components\src\Vibrator.cpp", "C++", 0, 34, 0, 0, 0, 0, 5, 8, 47
"c:\Users\wypho\Desktop\code\Embedded\lib\Enums\Args.hpp", "C++", 0, 17, 0, 0, 0, 0, 5, 5, 27
"c:\Users\wypho\Desktop\code\Embedded\lib\Enums\Caller.hpp", "C++", 0, 14, 0, 0, 0, 0, 5, 5, 24
"c:\Users\wypho\Desktop\code\Embedded\lib\Enums\Component.hpp", "C++", 0, 71, 0, 0, 0, 0, 5, 7, 83
"c:\Users\wypho\Desktop\code\Embedded\lib\Enums\Enums.h", "C++", 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\wypho\Desktop\code\Embedded\lib\Enums\FileType.hpp", "C++", 0, 13, 0, 0, 0, 0, 5, 4, 22
"c:\Users\wypho\Desktop\code\Embedded\lib\Enums\Json.hpp", "C++", 0, 62, 0, 0, 0, 0, 7, 11, 80
"c:\Users\wypho\Desktop\code\Embedded\lib\Enums\Position.hpp", "C++", 0, 89, 0, 0, 0, 0, 8, 12, 109
"c:\Users\wypho\Desktop\code\Embedded\lib\Enums\Priority.hpp", "C++", 0, 14, 0, 0, 0, 0, 5, 3, 22
"c:\Users\wypho\Desktop\code\Embedded\lib\Enums\Request.hpp", "C++", 0, 49, 0, 0, 0, 0, 5, 8, 62
"c:\Users\wypho\Desktop\code\Embedded\lib\Enums\Return.hpp", "C++", 0, 59, 0, 0, 0, 0, 5, 11, 75
"c:\Users\wypho\Desktop\code\Embedded\lib\Enums\Side.hpp", "C++", 0, 14, 0, 0, 0, 0, 5, 4, 23
"c:\Users\wypho\Desktop\code\Embedded\lib\Enums\State.hpp", "C++", 0, 16, 0, 0, 0, 0, 5, 5, 26
"c:\Users\wypho\Desktop\code\Embedded\lib\StateMachine\include\Request.h", "C++", 0, 20, 0, 0, 0, 0, 5, 7, 32
"c:\Users\wypho\Desktop\code\Embedded\lib\StateMachine\include\StateMachine.h", "C++", 0, 57, 0, 0, 0, 0, 11, 24, 92
"c:\Users\wypho\Desktop\code\Embedded\lib\StateMachine\src\Request.cpp", "C++", 0, 21, 0, 0, 0, 0, 5, 5, 31
"c:\Users\wypho\Desktop\code\Embedded\lib\StateMachine\src\StateMachine.cpp", "C++", 0, 295, 0, 0, 0, 0, 15, 29, 339
"c:\Users\wypho\Desktop\code\Embedded\lib\Tools\include\FS.h", "C++", 0, 87, 0, 0, 0, 0, 19, 25, 131
"c:\Users\wypho\Desktop\code\Embedded\lib\Tools\include\FSImpl.h", "C++", 0, 47, 0, 0, 0, 0, 19, 7, 73
"c:\Users\wypho\Desktop\code\Embedded\lib\Tools\include\FileReader.h", "C++", 0, 13, 0, 0, 0, 0, 10, 8, 31
"c:\Users\wypho\Desktop\code\Embedded\lib\Tools\include\LittleFS.h", "C++", 0, 21, 0, 0, 0, 0, 13, 9, 43
"c:\Users\wypho\Desktop\code\Embedded\lib\Tools\include\Versioner.h", "C++", 0, 20, 0, 0, 0, 0, 6, 6, 32
"c:\Users\wypho\Desktop\code\Embedded\lib\Tools\include\needed.hpp", "C++", 0, 14, 0, 0, 0, 0, 8, 7, 29
"c:\Users\wypho\Desktop\code\Embedded\lib\Tools\include\vfs_api.h", "C++", 0, 57, 0, 0, 0, 0, 13, 14, 84
"c:\Users\wypho\Desktop\code\Embedded\lib\Tools\src\FS.cpp", "C++", 0, 234, 0, 0, 0, 0, 20, 59, 313
"c:\Users\wypho\Desktop\code\Embedded\lib\Tools\src\FileReader.cpp", "C++", 0, 23, 0, 0, 0, 0, 8, 5, 36
"c:\Users\wypho\Desktop\code\Embedded\lib\Tools\src\LittleFS.cpp", "C++", 0, 113, 0, 0, 0, 0, 13, 23, 149
"c:\Users\wypho\Desktop\code\Embedded\lib\Tools\src\Versioner.cpp", "C++", 0, 45, 0, 0, 0, 0, 5, 8, 58
"c:\Users\wypho\Desktop\code\Embedded\lib\Tools\src\vfs_api.cpp", "C++", 0, 462, 0, 0, 0, 0, 30, 84, 576
"c:\Users\wypho\Desktop\code\Embedded\platformio.ini", "Ini", 8, 0, 0, 0, 0, 0, 11, 4, 23
"c:\Users\wypho\Desktop\code\Embedded\src\main.cpp", "C++", 0, 41, 0, 0, 0, 0, 9, 15, 65
"Total", "-", 8, 4062, 6, 10, 65, 26, 990, 959, 6126
